Date/Time,Word Count,en,es,ko
2025.12.20-13.34.35,172,172,0,0
2025.12.20-14.03.01,172,172,0,1
2025.12.20-14.09.02,172,172,0,2
2025.12.20-14.55.16,172,172,0,0
2025.12.20-14.55.50,172,172,0,150
2025.12.20-15.12.04,172,172,0,171
2025.12.20-15.13.56,172,172,0,172
2025.12.20-15.16.12,172,172,150,172
2025.12.20-15.16.33,172,172,171,172
2025.12.20-15.17.47,172,172,172,172
